Marque,Modèle,road,year,boite,transmission,horsepower,fuel,Prix
BMW,Série 3 coupé,156 000 km,2010,Automatique,Traction,9 cv,Essence,62 000
Mahindra,KUV 100 K6+,63 000 km,2021,Manuelle,Traction,5 cv,Essence,30 000
Haval,Jolion 1 ere,30 000 km,2023,Automatique,Traction,9 cv,Essence,93 000
Peugeot,308,48 000 km,2023,Automatique,Traction,7 cv,Diesel,126 000
Volkswagen,Tiguan R-Line,54 723 km,2023,Automatique,Traction,9 cv,Essence,198 000
Peugeot,Expert,139 199 km,2019,Manuelle,Traction,6 cv,Diesel,59 000
Volkswagen,Golf 8 R-Line,36 651 km,2022,Automatique,Traction,8 cv,Hybride,138 000
Ford,Ecosport 1 ère main,21 544 km,2022,Manuelle,Traction,7 cv,Essence,85 000
Mini,Cabrio,86 111 km,2010,Manuelle,Traction,7 cv,Essence,48 000
KIA,Picanto 1 ère main,0 km,2024,Automatique,Traction,5 cv,Essence,61 000
Porsche,Cayman S,39 508 km,2008,Manuelle,Traction,21 cv,Essence,275 000
Seat,Ibiza,99 519 km,2021,Manuelle,Traction,4 cv,Essence,54 000
Toyota,Land Cruiser,316 620 km,2003,Automatique,Traction,12 cv,Diesel,119 000
Mercedes-Benz,GLC Coupé AMG,82 415 km,2020,Automatique,Traction,10 cv,Hybride,230 000
Mercedes-Benz,Classe C AMG,249 000 km,2011,Automatique,Traction,9 cv,Essence,65 000
Mercedes-Benz,Classe C,30 570 km,2021,Automatique,Traction,8 cv,Essence,178 000
Peugeot,3008,105 000 km,2017,Automatique,Traction,9 cv,Essence,71 000
Mercedes-Benz,CLA AMG,1 000 km,2024,Automatique,Traction,8 cv,Hybride,225 000
Volkswagen,Golf 8,85 181 km,2020,Manuelle,Traction,5 cv,Essence,88 000
Volkswagen,Golf 7 Join,86 000 km,2018,Manuelle,Traction,6 cv,Essence,79 000
Volkswagen,T-roc,74 107 km,2019,Manuelle,Traction,6 cv,Essence,78 000
Renault,Symbol,115 000 km,2020,Manuelle,Traction,5 cv,Essence,36 000
Mercedes-Benz,CLA AMG,18 500 km,2023,Automatique,Traction,8 cv,Hybride,185 000
Mercedes-Benz,Classe A AMG,68 000 km,2018,Automatique,Traction,8 cv,Essence,135 000
BMW,Série 3 Luxury,112 000 km,2013,Automatique,Traction,7 cv,Essence,65 000
Audi,Q5 S-line,176 000 km,2015,Automatique,Traction,10 cv,Diesel,110 000
Mercedes-Benz,Classe C AMG,145 000 km,2019,Automatique,Traction,6 cv,Diesel,145 000
Peugeot,2008 Allure Toit Cielo Blanc Nacré,125 000 km,2018,Automatique,Traction,6 cv,Essence,50 000
Mercedes-Benz,Classe A AMG,141 000 km,2019,Automatique,Traction,7 cv,Diesel,119 000
Hyundai,i30 Fastback High grade,19 000 km,2022,Automatique,Traction,8 cv,Essence,86 500
Haval,H6 Luxury,100 000 km,2019,Automatique,Traction,9 cv,Essence,71 000
Fiat,Punto,216 000 km,2015,Manuelle,Traction,4 cv,Essence,29 000
Mercedes-Benz,CLA AMG,25 000 km,2021,Automatique,Traction,8 cv,Hybride,170 000
Mercedes-Benz,Classe A AMG,35 000 km,2020,Automatique,Traction,8 cv,Hybride,135 000
Peugeot,308,102 000 km,2020,Manuelle,Traction,5 cv,Essence,50 000
Mercedes-Benz,Classe C AMG +,6 569 km,2022,Automatique,Propulsion,9 cv,Hybride,245 000
Chery,Tiggo 3X,8 000 km,2022,Automatique,Traction,6 cv,Essence,58 000
Seat,Ibiza,45 000 km,2023,Automatique,Traction,6 cv,Essence,76 000
Seat,Ibiza,46 000 km,2023,Automatique,Propulsion,6 cv,Essence,73 000
KIA,Sportage 1.6L Diesel,105 000 km,2018,Manuelle,Traction,6 cv,Diesel,89 000
Mercedes-Benz,Classe C,235 000 km,2013,Manuelle,Traction,9 cv,Essence,55 500
Audi,Q5 2.0L,255 000 km,2009,Automatique,Traction,13 cv,Essence,47 000
Volkswagen,Golf 8,40 000 km,2023,Automatique,Traction,8 cv,Essence,139 000
Mercedes-Benz,Classe C AMG,164 000 km,2014,Automatique,Traction,9 cv,Essence,89 000
Mercedes-Benz,Classe E 1.6L,132 000 km,2017,Automatique,Traction,9 cv,Essence,138 000
Seat,Leon Xcellence,37 000 km,2023,Automatique,Traction,7 cv,Essence,108 000
Jeep,Wrangler 4.0L,200 000 km,1989,Manuelle,Traction,8 cv,Essence,72 000
Renault,Clio 1.0L,135 000 km,2021,Manuelle,Traction,5 cv,Essence,38 500
Audi,A3 Sportback 1.2L,125 000 km,2019,Manuelle,Traction,6 cv,Essence,78 500
Cupra,Formentor 1.5L,19 000 km,2022,Automatique,Traction,8 cv,Hybride,119 000
Ford,Fusion 1.6,90 000 km,2017,Manuelle,Traction,9 cv,Essence,55 500
Mazda,3,124 000 km,2017,Manuelle,Traction,6 cv,Essence,49 500
Nissan,Juke Tekna,160 000 km,2015,Automatique,Traction,7 cv,Essence,42 500
Citroën,C3,92 000 km,2018,Manuelle,Traction,4 cv,Essence,38 000
Citroën,Berlingo Utilitaire 1.6L,31 000 km,2023,Manuelle,Traction,5 cv,Diesel,58 500
BMW,Série 1 M,40 000 km,2022,Automatique,Traction,7 cv,Essence,138 500
BMW,X1 1.6L,126 000 km,2016,Automatique,Traction,7 cv,Essence,85 000
BMW,X2 S drive,74 000 km,2020,Automatique,Traction,8 cv,Essence,132 000
Volkswagen,Golf 7 Importé,40 000 km,2020,Manuelle,Traction,6 cv,Essence,73 500
Volkswagen,Golf 8 1.5L,80 000 km,2021,Manuelle,Traction,7 cv,Essence,93 000
BMW,Série 5 520,182 000 km,2014,Automatique,Traction,9 cv,Essence,75 000
Skoda,Fabia 1.6L,137 000 km,2018,Manuelle,Traction,5 cv,Essence,43 000
Hyundai,Grand i10 1.0L,57 000 km,2021,Manuelle,Traction,4 cv,Essence,39 800
Volvo,XC60 2.0L,18 000 km,2022,Automatique,Traction,15 cv,Essence,227 000
Seat,Ibiza Style Plus,120 000 km,2020,Manuelle,Traction,4 cv,Essence,53 000
Peugeot,5008,160 000 km,2019,Manuelle,Traction,7 cv,Essence,78 000
Volkswagen,Tiguan R-Line,45 000 km,2022,Automatique,Intégrale,11 cv,Diesel,185 000
Mercedes-Benz,Classe E,158 000 km,2020,Automatique,Traction,8 cv,Diesel,168 000
BMW,Série 4 Gran Coupé,122 000 km,2019,Automatique,Traction,7 cv,Essence,118 000
Mitsubishi,L200 Simple Cabine,500 000 km,2009,Manuelle,Traction,8 cv,Diesel,24 000
Mercedes-Benz,Classe A,100 000 km,2020,Automatique,Traction,7 cv,Essence,108 000
Audi,Q5,369 000 km,2008,Automatique,Intégrale,15 cv,Diesel,70 000
Peugeot,5008,7 000 km,2023,Automatique,Traction,9 cv,Essence,138 000
BMW,X2,76 000 km,2020,Automatique,Traction,8 cv,Essence,122 000
Hyundai,Grand i10,99 000 km,2020,Manuelle,Traction,5 cv,Essence,38 500
Volkswagen,Golf 8,100 000 km,2021,Manuelle,Traction,6 cv,Essence,88 500
Porsche,Cayenne,207 000 km,2008,Automatique,Intégrale,21 cv,Essence,68 000
Peugeot,207,112 000 km,2012,Manuelle,Traction,5 cv,Essence,28 500
BMW,Série 1,202 000 km,2011,Manuelle,Propulsion,6 cv,Diesel,41 500
Peugeot,Partner,218 000 km,2014,Manuelle,Traction,5 cv,Diesel,27 000
Seat,Leon,207 000 km,2013,Manuelle,Traction,6 cv,Essence,40 500
Toyota,C-HR,155 000 km,2017,Automatique,Traction,6 cv,Essence,69 000
KIA,Rio 5p GT-Line,68 000 km,2021,Manuelle,Traction,5 cv,Essence,63 500
Ford,Ranger,229 000 km,2019,Automatique,Propulsion,7 cv,Diesel,134 000
Volkswagen,Golf 8,75 000 km,2020,Manuelle,Traction,7 cv,Essence,122 000
Hyundai,Creta,76 000 km,2019,Manuelle,Traction,7 cv,Essence,79 000
BMW,Série 3 coupé,219 000 km,2009,Manuelle,Propulsion,7 cv,Essence,44 800
Audi,A5 Sportback Ambition Luxe,132 000 km,2015,Automatique,Traction,10 cv,Essence,89 000
Audi,A4,199 000 km,2014,Manuelle,Traction,7 cv,Essence,53 000
BAIC,YX Kenbo S3,108 000 km,2017,Manuelle,Intégrale,7 cv,Essence,34 000
MG,GS,149 000 km,2018,Automatique,Intégrale,9 cv,Essence,54 000
Nissan,Navara,295 000 km,2008,Manuelle,Intégrale,8 cv,Diesel,47 000
Volkswagen,Golf 7,79 000 km,2019,Manuelle,Traction,6 cv,Essence,75 000
Audi,A6,124 000 km,2016,Automatique,Traction,10 cv,Essence,102 000
Ford,Ecosport,151 000 km,2019,Automatique,Traction,7 cv,Essence,55 000
Ford,Focus Rs,114 000 km,2018,Manuelle,Traction,6 cv,Essence,54 000
Mitsubishi,Pajero,384 000 km,2001,Automatique,Intégrale,10 cv,Diesel,59 000
Land,Rover Range Rover Evoque,43 000 km,2021,Automatique,Intégrale,13 cv,Hybride,205 000
Nissan,Patrol,166 000 km,1993,Manuelle,Intégrale,11 cv,Diesel,54 000
Porsche,Cayenne,249 000 km,2010,Automatique,Intégrale,15 cv,Diesel,152 000
MG,ZS,75 000 km,2021,Automatique,Traction,7 cv,Essence,75 000
Ssangyong,Tivoli,40 000 km,2017,Manuelle,Traction,7 cv,Essence,60 000
KIA,Sportage GT-Line,124 000 km,2019,Automatique,Traction,8 cv,Diesel,97 000
Mercedes-Benz,Classe E,15 000 km,2022,Automatique,Propulsion,9 cv,Essence,248 000
Renault,Kadjar Intens,141 000 km,2018,Automatique,Traction,7 cv,Essence,69 500
Volkswagen,Polo,128 000 km,2020,Manuelle,Traction,4 cv,Essence,42 800
Mazda,BT-50,162 000 km,2015,Manuelle,Intégrale,9 cv,Diesel,65 500
Skoda,Fabia,120 000 km,2020,Manuelle,Traction,4 cv,Essence,35 700
BMW,Série 3 Luxury,178 000 km,2014,Automatique,Propulsion,7 cv,Essence,64 500
Nissan,Qashqai,148 000 km,2016,Manuelle,Traction,6 cv,Essence,60 500
Ford,Ranger,223 000 km,2019,Automatique,Intégrale,8 cv,Diesel,155 000
Peugeot,508 GT Line,115 000 km,2020,Automatique,Traction,9 cv,Essence,116 000
Hyundai,Veloster,87 000 km,2019,Automatique,Traction,11 cv,Essence,112 000
Mercedes-Benz,Classe C,137 000 km,2017,Automatique,Propulsion,8 cv,Essence,115 000
Fiat,Doblo,38 000 km,2021,Manuelle,Traction,5 cv,Diesel,44 500
Mercedes-Benz,GLA,201 000 km,2017,Automatique,Traction,7 cv,Essence,83 000
Volkswagen,Golf 7,135 000 km,2017,Automatique,Traction,6 cv,Essence,69 000
Mercedes-Benz,Classe C AMG,29 000 km,2022,Automatique,Propulsion,9 cv,Hybride,228 000
Mercedes-Benz,GLA AMG,65 000 km,2016,Automatique,Traction,8 cv,Essence,118 000
Volkswagen,Amarok Highline Double Cabine,215 000 km,2017,Automatique,Traction,7 cv,Diesel,94 000
Land,Rover Range Rover Evoque,138 000 km,2016,Automatique,Traction,15 cv,Essence,97 000
BMW,Série 5 Confort Luxury,119 000 km,2016,Automatique,Traction,9 cv,Essence,109 000
Hyundai,Tucson Hybride,51 000 km,2021,Automatique,Traction,7 cv,Hybride,145 000
Mercedes-Benz,CLA,60 000 km,2021,Automatique,Traction,6 cv,Diesel,145 000
Peugeot,Landtrek Simple Cabine Avec cabine frigorifique,45 000 km,2023,Manuelle,Propulsion,6 cv,Diesel,78 000
Renault,Megane Sedan,46 000 km,2019,Manuelle,Traction,7 cv,Essence,61 000
Ford,Ecosport,19 000 km,2022,Manuelle,Traction,7 cv,Essence,78 000
Opel,Calibra Turbo 4x4,76 000 km,1994,Manuelle,Intégrale,8 cv,Essence,59 000
Mercedes-Benz,ML,355 000 km,2006,Automatique,Traction,15 cv,Diesel,55 000
Peugeot,206,183 000 km,2005,Manuelle,Traction,4 cv,Essence,17 000
Chery,Tiggo 3,108 000 km,2017,Manuelle,Traction,8 cv,Essence,36 500
Tesla,Model 3 Modèle 3 Highland 2024,15 000 km,2023,Automatique,Propulsion,8 cv,Electrique,190 000
Mercedes-Benz,GLA AMG,25 000 km,2021,Automatique,Traction,8 cv,Hybride,180 000
BMW,Série 5 Pack Sport M,102 000 km,2016,Automatique,Propulsion,9 cv,Essence,110 000
Ford,Ranger Double Cabine XLT,340 000 km,2011,Manuelle,Traction,10 cv,Diesel,32 000
Volkswagen,Golf 7 Cup,136 000 km,2015,Manuelle,Traction,5 cv,Essence,56 000
Volkswagen,Golf 7 importee toit pano,65 000 km,2019,Manuelle,Traction,5 cv,Essence,73 000
Skoda,Rapid Style,45 000 km,2019,Manuelle,Traction,5 cv,Essence,56 000
Ford,Focus ST-Line,60 000 km,2020,Automatique,Traction,6 cv,Essence,79 000
Mini,5 portes,20 000 km,2019,Automatique,Traction,7 cv,Essence,79 000
Land,Rover Range Rover Sport HSE Dynamic,80 000 km,2020,Automatique,Intégrale,17 cv,Hybride,312 000
Land,Rover Range Rover V8 4.2 SUPERCHARGED,60 000 km,2010,Automatique,Intégrale,32 cv,Essence,189 000
BAIC,YX Kenbo S3,145 000 km,2017,Manuelle,Propulsion,7 cv,Essence,35 000
Mercedes-Benz,Classe C AMG,67 000 km,2019,Automatique,Propulsion,6 cv,Diesel,143 000
Hyundai,ix35,280 000 km,2014,Automatique,Traction,11 cv,Diesel,57 000
MG,ZS,65 000 km,2019,Automatique,Traction,7 cv,Essence,65 000
Mazda,CX-5 High Grade,63 000 km,2019,Automatique,Intégrale,9 cv,Essence,115 000
Mercedes-Benz,Classe C AMG +,201 000 km,2013,Automatique,Intégrale,9 cv,Essence,81 000
Nissan,Qashqai Tekna,80 000 km,2019,Automatique,Propulsion,6 cv,Essence,80 000
Toyota,Corolla,66 000 km,2022,Automatique,Traction,6 cv,Essence,70 000
Jaguar,F-Pace,84 000 km,2018,Automatique,Traction,10 cv,Diesel,180 000
Land,Rover Range Rover Evoque,122 000 km,2015,Automatique,Traction,15 cv,Essence,95 000
Toyota,C-HR,102 000 km,2020,Automatique,Traction,6 cv,Essence,78 000
Cupra,Formentor Exclusive,23 000 km,2022,Automatique,Traction,11 cv,Essence,145 000
Jeep,Compass,76 000 km,2020,Automatique,Traction,11 cv,Essence,95 000
Porsche,Cayenne Coupé,77 000 km,2020,Automatique,Traction,22 cv,Hybride,480 000
Porsche,Cayenne,183 000 km,2010,Automatique,Traction,41 cv,Essence,158 000
Toyota,Yaris Cross Hybride,2 000 km,2024,Automatique,Traction,5 cv,Hybride,114 000
Porsche,Panamera,183 000 km,2012,Automatique,Traction,20 cv,Essence,119 000
Fiat,Doblo,41 000 km,2021,Manuelle,Traction,6 cv,Essence,51 000
KIA,Rio 5p,205 000 km,2012,Manuelle,Traction,5 cv,Essence,32 000
MG,ZS Confort Plus,116 000 km,2020,Manuelle,Traction,7 cv,Essence,62 000
Mitsubishi,L200 Double Cabine DID SPORTERO,35 000 km,2022,Automatique,Intégrale,8 cv,Diesel,152 000
Audi,Q2 S-Line,75 000 km,2021,Automatique,Traction,8 cv,Essence,125 000
Volkswagen,Passat,22 000 km,2022,Automatique,Traction,8 cv,Essence,95 000
Seat,Leon,61 847 km,2020,Manuelle,Traction,6 cv,Essence,70 000
KIA,Sportage,55 000 km,2021,Automatique,Traction,7 cv,Diesel,115 000
Volkswagen,Golf 7,88 000 km,2018,Manuelle,Traction,8 cv,Essence,95 000
Volkswagen,T-roc Pack chrome,59 000 km,2019,Manuelle,Traction,6 cv,Essence,79 000
Volkswagen,Golf 8,78 000 km,2021,Manuelle,Traction,5 cv,Essence,81 000
Volkswagen,Golf 8,68 000 km,2021,Manuelle,Traction,6 cv,Essence,85 500
Suzuki,Swift GLX,65 000 km,2020,Automatique,Traction,5 cv,Essence,43 000
Peugeot,2008,110 000 km,2020,Manuelle,Traction,6 cv,Essence,72 000
Mercedes-Benz,GLC Coupé,52 000 km,2020,Automatique,Intégrale,11 cv,Diesel,240 000
Mercedes-Benz,Classe C AMG,36 000 km,2020,Automatique,Traction,9 cv,Essence,139 000
KIA,Picanto GT-Line,85 000 km,2021,Automatique,Traction,5 cv,Essence,49 000
Honda,City LX Sport,80 000 km,2022,Automatique,Traction,6 cv,Essence,67 000
Suzuki,Swift,80 000 km,2021,Manuelle,Traction,5 cv,Essence,41 800
Volkswagen,Polo Smartline,63 000 km,2021,Manuelle,Traction,4 cv,Essence,53 000
Fiat,Fiorino Utilitaire,13 000 km,2023,Manuelle,Traction,5 cv,Diesel,44 500
Fiat,Panda City Cross,72 000 km,2022,Manuelle,Traction,4 cv,Essence,43 800
Seat,Leon Style,167 000 km,2016,Automatique,Traction,6 cv,Essence,52 500
Dacia,Dokker Van Lux Tolée Plus,140 000 km,2022,Manuelle,Traction,5 cv,Essence,39 000
Chevrolet,Sonic Comfort,87 000 km,2021,Manuelle,Traction,5 cv,Essence,41 000
Volkswagen,Golf 7 Smartline,170 000 km,2019,Automatique,Traction,6 cv,Essence,57 000
Audi,A3 Sportback,128 000 km,2018,Manuelle,Traction,6 cv,Essence,69 000
Volkswagen,Golf 8,69 000 km,2021,Manuelle,Traction,6 cv,Essence,87 000
MG,HS,46 000 km,2021,Automatique,Traction,10 cv,Essence,83 000
MG,RX8 4x4 SUV,24 000 km,2023,Automatique,Traction,16 cv,Essence,135 000
Mercedes-Benz,Classe A AMG,63 000 km,2020,Automatique,Traction,9 cv,Essence,144 000
Volkswagen,Virtus Confortline,30 000 km,2023,Manuelle,Traction,6 cv,Essence,61 000
Dongfeng,SX3 Confort,65 000 km,2020,Manuelle,Traction,8 cv,Essence,52 000
KIA,Rio 5p GX,84 000 km,2021,Manuelle,Traction,5 cv,Essence,52 800
Toyota,Yaris Sedan Elegance,134 000 km,2020,Manuelle,Traction,5 cv,Essence,46 500
BMW,Série 3 Confort Luxury Line,145 000 km,2016,Automatique,Propulsion,7 cv,Essence,79 000
KIA,Cee'd Comfort,178 000 km,2019,Manuelle,Traction,6 cv,Essence,52 000
Hyundai,Grand i10 Sedan High Grade,95 000 km,2021,Manuelle,Traction,5 cv,Essence,45 800
Smart,ForTwo Sport,101 000 km,2010,Manuelle,Propulsion,5 cv,Essence,27 500
MG,ZS,110 000 km,2021,Manuelle,Traction,7 cv,Essence,58 000
Citroën,C3 Live,119 000 km,2019,Manuelle,Traction,4 cv,Essence,34 500
Mercedes-Benz,Classe C Avantgarde,56 000 km,2013,Automatique,Traction,9 cv,Essence,95 000
Chery,Tiggo 3X Luxury,47 000 km,2022,Automatique,Traction,6 cv,Essence,52 000
Ssangyong,Tivoli Confort,43 000 km,2022,Manuelle,Traction,6 cv,Essence,74 000
Audi,A4 Design Luxe,44 000 km,2018,Automatique,Traction,8 cv,Essence,117 000
GMC,Sierra Americain,53 000 km,2022,Automatique,Traction,20 cv,Essence,380 000
BMW,Série 1,144 000 km,2015,Automatique,Propulsion,7 cv,Essence,55 000
Mercedes-Benz,GLE Coupé,54 000 km,2020,Automatique,Intégrale,18 cv,Diesel,420 000
Wallyscar,Iris,137 000 km,2020,Manuelle,Traction,4 cv,Essence,30 000
Mercedes-Benz,Classe C AMG,200 000 km,2011,Automatique,Traction,9 cv,Essence,71 000
KIA,Sportage,150 000 km,2019,Automatique,Propulsion,8 cv,Essence,85 000
BMW,Série 3 coupé Kit M///,152 000 km,2012,Manuelle,Traction,10 cv,Essence,74 000
Volkswagen,Passat R-Line,132 000 km,2020,Automatique,Traction,8 cv,Essence,99 000
Peugeot,308 Active,82 500 km,2020,Manuelle,Traction,6 cv,Essence,53 000
MG,HS,55 000 km,2022,Automatique,Traction,8 cv,Hybride,105 000
Toyota,C-HR,130 000 km,2020,Automatique,Traction,6 cv,Essence,79 000
Ford,Ecosport,50 000 km,2019,Manuelle,Traction,7 cv,Essence,58 000
Jeep,Renegade,150 000 km,2020,Manuelle,Traction,8 cv,Essence,73 000
Volkswagen,Tiguan,74 000 km,2019,Automatique,Traction,8 cv,Diesel,145 000
BMW,X1,133 000 km,2020,Automatique,Traction,8 cv,Essence,95 000
BMW,Série 4 Gran Coupé,48 000 km,2017,Automatique,Traction,7 cv,Essence,115 000
BMW,Série 7,140 000 km,2009,Automatique,Traction,23 cv,Essence,89 000
BMW,Série 5 Pack M,142 000 km,2020,Automatique,Traction,10 cv,Essence,145 000
Audi,A5 Sportback,198 000 km,2018,Automatique,Traction,8 cv,Essence,90 000
Mercedes-Benz,CL AMG,115 000 km,2008,Automatique,Traction,30 cv,Essence,95 000
Mercedes-Benz,Classe E coupé AMG,80 000 km,2019,Automatique,Traction,12 cv,Essence,249 000
Land,Rover Range Rover Velar R-Dynamic,107 000 km,2019,Automatique,Traction,16 cv,Essence,220 000
Maserati,Quattroporte M139 F1 V8 Formula One ( F1 ),96 000 km,2005,Automatique,Traction,34 cv,Essence,115 000
Maserati,Levante,66 000 km,2016,Automatique,Intégrale,29 cv,Diesel,250 000
Toyota,Tundra 5.7 Limitée et Kit Spécial,106 000 km,2014,Automatique,Intégrale,22 cv,Essence,260 000
BMW,Série 3,168 000 km,2014,Manuelle,Traction,7 cv,Essence,63 000
Ford,Ecosport,18 000 km,2023,Manuelle,Traction,7 cv,Essence,72 000
Audi,A3 Sportback,100 000 km,2018,Manuelle,Traction,6 cv,Essence,67 500
Honda,City EX,138 000 km,2018,Automatique,Intégrale,7 cv,Essence,43 500
Mercedes-Benz,Classe C 200 AMG,200 003 km,2011,Automatique,Traction,8 cv,Diesel,68 000
Wallyscar,719 Atmos,85 795 km,2023,Manuelle,Traction,7 cv,Essence,Sous leasing                    48 100
BMW,Série 5,97 000 km,2017,Automatique,Propulsion,10 cv,Essence,120 000
Fiat,500X Pop Star,90 000 km,2018,Automatique,Traction,7 cv,Essence,58 000
Mercedes-Benz,Classe C Avantgarde,93 000 km,2017,Automatique,Traction,6 cv,Diesel,115 000
Volkswagen,Polo Sedan Trendline,170 000 km,2020,Manuelle,Traction,5 cv,Essence,41 300
Mercedes-Benz,Classe A AMG,180 000 km,2014,Automatique,Traction,6 cv,Essence,68 500
Audi,Q2,173 000 km,2017,Automatique,Traction,6 cv,Essence,69 000
Volkswagen,Golf 7,202 000 km,2018,Manuelle,Traction,6 cv,Essence,58 000
Haval,H6,20 000 km,2022,Automatique,Intégrale,8 cv,Essence,118 000
MG,3,70 000 km,2021,Manuelle,Intégrale,6 cv,Essence,48 000
Toyota,Agya 4 cylindres,64 000 km,2021,Automatique,Traction,5 cv,Essence,37 500
Jeep,Renegade Limited,130 000 km,2019,Automatique,Traction,8 cv,Essence,66 000
KIA,Rio 5p GT-Line,72 000 km,2021,Manuelle,Traction,5 cv,Essence,65 000
Hyundai,i20 High Grade,54 000 km,2022,Manuelle,Traction,5 cv,Essence,64 000
KIA,Rio 5p,124 000 km,2021,Manuelle,Traction,5 cv,Essence,49 800
Hyundai,Grand i10 High Grade,47 000 km,2023,Manuelle,Traction,5 cv,Essence,48 500
Seat,Ibiza Style,120 000 km,2021,Manuelle,Traction,4 cv,Essence,46 000
KIA,Sorento,352 000 km,2015,Automatique,Traction,12 cv,Diesel,72 000
Citroën,C4 Dynamique,87 000 km,2017,Manuelle,Traction,5 cv,Essence,45 000
Volkswagen,Polo Sedan Highline,94 000 km,2022,Manuelle,Traction,5 cv,Essence,53 000
BMW,X5 Confort xLine,112 000 km,2020,Automatique,Traction,14 cv,Essence,265 000
Renault,Megane Dynamique,160 000 km,2020,Automatique,Traction,5 cv,Essence,52 000
Hyundai,Grand i10 GLS,100 000 km,2021,Manuelle,Traction,5 cv,Essence,41 800
Suzuki,Swift GLX Pack,80 000 km,2021,Manuelle,Traction,5 cv,Essence,43 500
KIA,Sportage Toit Ouvrant,96 000 km,2018,Automatique,Traction,8 cv,Essence,78 000
Volkswagen,Polo,67 000 km,2021,Manuelle,Traction,4 cv,Essence,52 500
Mercedes-Benz,Classe C Business Advanced,87 000 km,2016,Manuelle,Traction,6 cv,Diesel,93 000
Geely,GX3,90 000 km,2022,Manuelle,Traction,6 cv,Essence,58 000
KIA,Rio 5p,117 000 km,2021,Manuelle,Traction,5 cv,Essence,56 000
Mercedes-Benz,GLA AMG,57 000 km,2021,Automatique,Traction,8 cv,Hybride,179 000
Volkswagen,Passat R-Line DSG,51 000 km,2021,Automatique,Traction,8 cv,Essence,125 000
Seat,Arona FR,15 000 km,2022,Automatique,Traction,6 cv,Essence,96 000
Ford,Focus Comfort,130 000 km,2016,Manuelle,Traction,6 cv,Essence,42 800
Mercedes-Benz,GLC Coupé AMG,29 000 km,2021,Automatique,Propulsion,12 cv,Hybride,256 000
BMW,Série 5,280 000 km,2015,Automatique,Traction,9 cv,Essence,65 000
Land,Rover Range Rover Velar R-Dynamic,19 000 km,2019,Automatique,Traction,15 cv,Essence,335 000
BMW,Série 5 Business Line,132 000 km,2018,Automatique,Propulsion,10 cv,Essence,130 000
Hyundai,Grand i10 High Grade,74 000 km,2021,Automatique,Traction,5 cv,Essence,47 800
Seat,Leon Référence,72 000 km,2014,Manuelle,Traction,5 cv,Essence,52 000
Haval,H6 Luxury,45 000 km,2021,Automatique,Traction,9 cv,Essence,82 000
Porsche,Cayenne,176 000 km,2011,Automatique,Propulsion,15 cv,Diesel,125 000
Haval,H2,43 000 km,2020,Automatique,Traction,9 cv,Essence,66 000
Skoda,Octavia Ambition Edition Spéciale,10 200 km,2023,Automatique,Traction,8 cv,Essence,100 000
KIA,Rio 5p SX,35 000 km,2020,Manuelle,Traction,5 cv,Essence,58 500
BMW,Série 1 Business Line,251 000 km,2012,Manuelle,Traction,7 cv,Essence,36 500
Volkswagen,Golf 7 Sound,125 000 km,2018,Manuelle,Traction,6 cv,Essence,78 000
